"STRT_ID";"STREET";"BLD_ID";"BLD";"KORP"
"3189139";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Кирова ул., ";"9392061";"д.2";""
"3189139";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Кирова ул., ";"9403742";"д.1";""
"3189139";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Кирова ул., ";"9402232";"д.5";""
"3189139";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Кирова ул., ";"9376007";"нетр162460";""
"3189139";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Кирова ул., ";"9414055";"д.3";""
"3189138";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Заречная ул., ";"9365375";"д.9";""
"3189138";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Заречная ул., ";"9404424";"нетр162460";""
"3189138";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Заречная ул., ";"9375768";"д.3";""
"3189138";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Заречная ул., ";"9392218";"д.7";""
"3189138";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Заречная ул., ";"9406559";"д.4";""
"3189136";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Заводская ул., ";"9425933";"д.7";""
"3189136";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Заводская ул., ";"9408682";"д.18";"0"
"3189136";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Заводская ул., ";"9392904";"д.5";""
"3189153";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Садовая ул., ";"9440980";"д.24";""
"3189153";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Садовая ул., ";"13432444";"д.48";""
"3189153";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Садовая ул., ";"9424416";"д.1";""
"3189153";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Садовая ул., ";"9375773";"д.52";""
"3189153";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Садовая ул., ";"9420838";"д.50";""
"3189153";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Садовая ул., ";"9415247";"д.32";""
"3189153";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Садовая ул., ";"9387470";"д.3";""
"3189153";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Садовая ул., ";"10216445";"д.14";""
"3189153";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Садовая ул., ";"9432834";"д.46";""
"3189153";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Садовая ул., ";"9404421";"д.44";""
"3189153";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Садовая ул., ";"9415638";"д.22";""
"3189153";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Садовая ул., ";"9397001";"д.7";""
"3189158";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Юбилейная ул., ";"9398376";"д.19";""
"3189158";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Юбилейная ул., ";"9448952";"д.25";""
"3189158";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Юбилейная ул., ";"10220938";"д.33";""
"3189158";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Юбилейная ул., ";"9403127";"д.5";""
"3189158";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Юбилейная ул., ";"9413446";"д.10";""
"3189158";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Юбилейная ул., ";"13324249";"д.23";""
"3189158";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Юбилейная ул., ";"13324243";"д.16";""
"3189158";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Юбилейная ул., ";"13324245";"д.21";""
"3189158";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Юбилейная ул., ";"9446702";"д.7";""
"3189158";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Юбилейная ул., ";"9366167";"д.27";""
"3189158";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Юбилейная ул., ";"9365672";"д.2";""
"3189158";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Юбилейная ул., ";"9405902";"д.11";""
"3189158";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Юбилейная ул., ";"9408392";"д.18";""
"3189158";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Юбилейная ул., ";"9397879";"д.8";""
"3189158";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Юбилейная ул., ";"9398852";"д.29";""
"3189156";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Северная ул., ";"9382073";"д.3";""
"3189156";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Северная ул., ";"9375736";"д.7";""
"3189156";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Северная ул., ";"13224320";"д.9";""
"3189156";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Северная ул., ";"9424419";"д.1";""
"3189156";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Северная ул., ";"10215137";"нетр162460";""
"3189156";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Северная ул., ";"9392900";"д.5";""
"3189156";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Северная ул., ";"9436696";"д.11";""
"3189150";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Подгорная ул., ";"9387313";"д.3";""
"3189150";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Подгорная ул., ";"9425045";"д.11";""
"3189150";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Подгорная ул., ";"9407514";"д.13";""
"3189150";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Подгорная ул., ";"9376311";"д.2";""
"3189150";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Подгорная ул., ";"9434214";"д.1";""
"3189150";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Подгорная ул., ";"9375526";"д.17";""
"3189150";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Подгорная ул., ";"9397902";"д.9";""
"3189150";"Вологодская обл., Бабаевский р-н, с. Борисово-Судское, Подгорная ул., ";"9398369";"д.20";""
